"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)12","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",-1.04247211702676,1.15229499541187,-0.904692046027802,0.365628556084391
"staph_RF_preds2","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",0.0326160431777283,0.125754384066113,0.25936307048016,0.79535512049237
"age12","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",-0.0177502324994165,0.00838717247456248,-2.11635477310754,0.0343146455444517
"gender112","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",0.56909302784029,0.171857503911243,3.31142379522865,0.000928225174285502
"smoked_ever112","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",-0.213245508428766,0.173660652792447,-1.22794372242531,0.219468094882796
"smoked_ever212","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",-1.85708713380755,0.736749064234766,-2.5206508212351,0.0117138027047725
"sampling_seasonFall12","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",0.106218655391797,0.29037330544842,0.365800345275421,0.714514062217307
"sampling_seasonSpring12","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",0.595719504064996,0.272243289911123,2.18818801469625,0.028655909779116
"sampling_seasonWinter12","Strep(8)/Neis(13)/Hae(14) clust","staph_RF_preds",0.381263121970158,0.281558280889358,1.35411794945566,0.175698750524146
"(Intercept)13","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",-1.37164909202597,1.98814639016177,-0.689913528909891,0.490248567467127
"tetw_RF_preds2","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",0.0595476014764788,0.192979972482581,0.308568815252857,0.757649545771033
"age13","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",-0.0178607043551525,0.00835783443617003,-2.13700145552742,0.0325978732345718
"gender113","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",0.56848848430352,0.171848741613359,3.30807475787374,0.000939397294287874
"smoked_ever113","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",-0.214969646865962,0.173756600734333,-1.23718837705994,0.216017155530768
"smoked_ever213","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",-1.85660925555268,0.736619333018848,-2.52044600559673,0.0117206218678879
"sampling_seasonFall13","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",0.112430770056816,0.290225514380477,0.387391061384844,0.698466720198969
"sampling_seasonSpring13","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",0.601427276244725,0.272627843072001,2.20603761328181,0.027381366227516
"sampling_seasonWinter13","Strep(8)/Neis(13)/Hae(14) clust","tetw_RF_preds",0.38292961536143,0.281413533752027,1.3607363166082,0.173597033459868
"(Intercept)14","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",-0.758440598095314,0.760174233703593,-0.997719423348733,0.318415431928044
"meca_RF_preds2","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",-0.0103684888089876,0.181159102768524,-0.0572341585409371,0.95435866816603
"age14","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",-0.017956055886382,0.00836554528449039,-2.14642982325041,0.0318387020742824
"gender114","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",0.56915737188466,0.171917799718294,3.31063666948556,0.000930839840157178
"smoked_ever114","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",-0.212946114247992,0.173684528694683,-1.2260511390875,0.220179431240895
"smoked_ever214","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",-1.86523741156117,0.736760324310774,-2.53167461658046,0.0113519279091063
"sampling_seasonFall14","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",0.109522230977183,0.290075452313919,0.377564630524675,0.705754043781052
"sampling_seasonSpring14","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",0.596014840082275,0.27253719296431,2.18691193520998,0.0287489534733239
"sampling_seasonWinter14","Strep(8)/Neis(13)/Hae(14) clust","meca_RF_preds",0.384120363168807,0.281501836247317,1.36453945839037,0.172397844253113
"(Intercept)15","Strep(8)/Gem(27) clust","(Intercept)",-3.23400188305046,1.3099200514293,-2.46885440032903,0.0135546357277847
"KRD_nGoatsWghtDist.3000m.sum3","Strep(8)/Gem(27) clust","KRD_nGoatsWghtDist.3000m.sum",-0.190200079251234,0.121032847209218,-1.57147488171086,0.116072384419705
"KRD_nCowsWghtDist.3000m.sum3","Strep(8)/Gem(27) clust","KRD_nCowsWghtDist.3000m.sum",0.05358619312443,0.069328144997921,0.772935625582321,0.439560479537317
"KRD_nPoultryWghtDist.3000m.sum3","Strep(8)/Gem(27) clust","KRD_nPoultryWghtDist.3000m.sum",0.00053510575482091,0.000511629676821451,1.04588490281742,0.295614175458447
"KRD_nPigsWghtDist.3000m.sum3","Strep(8)/Gem(27) clust","KRD_nPigsWghtDist.3000m.sum",-0.0033311169671652,0.00815241825965644,-0.408604767452839,0.682829731436285
"age15","Strep(8)/Gem(27) clust","age",-0.00546609520757159,0.0178878717864367,-0.305575491194889,0.759927883590504
"gender115","Strep(8)/Gem(27) clust","gender1",-0.23026470515288,0.343356732455926,-0.670628193324962,0.502457417393609
"smoked_ever115","Strep(8)/Gem(27) clust","smoked_ever1",0.47667340836913,0.362863897667763,1.31364241919038,0.188966566599395
"smoked_ever215","Strep(8)/Gem(27) clust","smoked_ever2",-0.475579656510854,1.0575568449396,-0.44969654235278,0.652929264840595
"sampling_seasonFall15","Strep(8)/Gem(27) clust","sampling_seasonFall",0.258541506828493,0.555098400019413,0.465757975197642,0.641388749099071
"sampling_seasonSpring15","Strep(8)/Gem(27) clust","sampling_seasonSpring",-0.40371705238851,0.599492665771271,-0.67343117846006,0.500673018708424
